*sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
JB021108_39	JB021108_39	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_39.fq.gz					
JB021108_40	JB021108_40_2	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_40_2.fq.gz					
JB021108_41	JB021108_41_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_41_PE.1.fq.gz					
JB021108_44	JB021108_44_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_44_PE.1.fq.gz					
JB021108_45	JB021108_45	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_45.fq.gz					
JB021108_46	JB021108_46_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_46_PE.1.fq.gz					
JB021108_47	JB021108_47_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_47_PE.1.fq.gz					
JB021108_48	JB021108_48_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_48_PE.1.fq.gz					
JB121807_01	JB121807_01	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB121807_01.fq.gz					
JB121807_03	JB121807_03_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB121807_03_PE.1.fq.gz					
